terrain,position,pos_key,dist_mm,lights,lighting,exposure_ms,phase_deg,mean_dn,std_dn,frac_dark,frac_sat,coverage,med_err_mm,p75_err_mm,p95_err_mm,n_valid
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,512,24.01,1389.55,1102.19,0.0,0.0417,0.7176,16.02,29.86,194.39,1048319
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_30,64,24.01,191.95,209.48,0.1823,0.0,0.7596,20.25,42.75,262.94,1109673
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,1024,10.12,2179.11,1385.64,0.0,0.2133,0.5521,21.68,38.05,101.67,806546
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,128,10.12,408.49,563.73,0.0264,0.0083,0.3448,27.27,54.44,496.16,503729
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,2048,10.12,2963.56,1314.91,0.0,0.5111,0.4775,29.27,64.75,240.23,697542
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,256,10.12,766.57,870.19,0.0001,0.0187,0.6648,25.53,51.93,336.0,971229
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,32,10.12,102.94,147.63,0.388,0.0,0.2816,28.42,65.23,556.75,411339
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,512,10.12,1323.41,1110.49,0.0,0.0684,0.6204,20.37,35.95,186.24,906261
Terrain11_FreshCrater,PosA_1500_Lon,PosA,1500,Lon,Sun_350,64,10.12,205.7,294.22,0.176,0.0,0.3135,27.75,58.07,512.63,457914
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,1024,,1.51,1.2,1.0,0.0,0.002,,,,404
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,128,,0.65,0.82,1.0,0.0,0.0005,,,,113
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,2048,,2.47,1.9,1.0,0.0,0.0027,,,,547
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,256,,0.77,0.85,1.0,0.0,0.0022,,,,463
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,32,,0.55,0.8,1.0,0.0,0.0031,,,,648
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,4096,,4.39,3.36,0.9997,0.0,0.0025,,,,523
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,512,,1.02,0.94,1.0,0.0,0.0009,,,,187
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,64,,0.59,0.81,1.0,0.0,0.0006,,,,129
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,NoSun,8192,,8.25,6.28,0.9991,0.0,0.0046,,,,946
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,1024,173.93,1014.56,1067.18,0.0,0.0562,0.5284,54.2,109.49,962.42,109046
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,128,173.93,144.43,220.33,0.2262,0.0005,0.556,59.16,116.68,962.56,114723
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,2048,173.93,1664.51,1298.83,0.0,0.1541,0.4524,53.4,118.64,997.97,93354
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,256,173.93,285.69,401.4,0.0,0.0014,0.5615,59.14,119.68,976.09,115870
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,32,173.93,36.46,61.58,0.7557,0.0,0.5482,61.19,115.29,932.28,113126
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,512,173.93,558.95,715.14,0.0,0.0073,0.5594,57.63,118.08,974.8,115423
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_180,64,173.93,72.68,122.01,0.5997,0.0001,0.5536,60.03,116.23,960.09,114241
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,1024,92.21,426.86,867.86,0.041,0.0237,0.703,54.9,97.49,976.16,145065
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,128,92.21,64.88,186.13,0.7874,0.0,0.6092,65.75,128.49,1000.51,125705
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,2048,92.21,683.21,1146.75,0.0012,0.0693,0.7455,49.76,96.47,986.16,153830
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,256,92.21,127.93,354.19,0.7179,0.0024,0.6063,62.25,116.24,998.34,125102
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,32,92.21,16.5,46.56,0.8971,0.0,0.5396,61.21,122.5,986.64,111356
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,512,92.21,239.24,568.99,0.4512,0.0079,0.6212,64.47,118.6,996.79,128181
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_270,64,92.21,32.63,93.27,0.8464,0.0,0.5826,62.6,124.29,995.49,120215
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,1024,23.15,2428.71,1579.32,0.0,0.3888,0.7493,69.14,146.45,1006.14,154629
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,128,23.15,785.49,1100.43,0.093,0.0561,0.8384,55.46,97.65,2999.48,172996
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,2048,23.15,2955.77,1438.68,0.0,0.5589,0.4577,101.85,198.83,3574.67,94452
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,256,23.15,1228.21,1341.91,0.0071,0.1184,0.8533,48.69,88.1,2982.36,176081
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,32,23.15,218.66,351.62,0.352,0.0,0.7963,55.33,101.84,1109.18,164310
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,512,23.15,1804.83,1524.31,0.0,0.2141,0.8449,46.95,85.32,991.94,174354
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_30,64,23.15,434.91,693.35,0.2508,0.001,0.8073,54.73,102.17,2802.63,166592
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,1024,10.98,2800.66,1412.84,0.0,0.4498,0.7403,67.86,171.14,3303.37,152758
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,128,10.98,880.18,1099.18,0.0311,0.0513,0.8271,71.43,139.29,3203.9,170668
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,2048,10.98,3365.17,1152.22,0.0,0.6622,0.3381,167.57,1053.33,3931.17,69765
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,256,10.98,1397.46,1340.94,0.0,0.1357,0.8511,61.82,119.73,3201.92,175630
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,32,10.98,230.01,312.59,0.2392,0.0004,0.7888,72.32,150.13,3229.75,162778
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,512,10.98,2057.7,1447.26,0.0,0.2424,0.8527,54.65,104.64,3211.84,175958
Terrain11_FreshCrater,PosB_4000_Loff,PosB,4000,Loff,Sun_350,64,10.98,457.49,603.95,0.1063,0.0006,0.8053,70.88,145.41,3230.6,166171
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,1024,,44.97,72.97,0.7455,0.0,0.2982,114.61,937.59,3834.6,61532
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,128,,6.02,9.12,0.983,0.0,0.0631,,,,13031
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,2048,,89.7,146.11,0.5663,0.0,0.3513,102.04,882.46,3683.79,72493
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,256,,11.54,18.16,0.932,0.0,0.1131,,,,23337
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,32,,1.88,2.43,0.9999,0.0,0.0084,,,,1741
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,4096,,179.03,289.82,0.31,0.0001,0.4108,85.06,324.21,3640.92,84764
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,512,,22.68,36.37,0.8348,0.0,0.1846,,,,38088
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,64,,3.25,4.62,0.9995,0.0,0.0276,,,,5691
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,NoSun,8192,,355.76,563.0,0.1646,0.001,0.4395,79.77,359.05,3664.69,90698
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,1024,173.93,1049.01,1057.15,0.0,0.056,0.5239,54.6,106.65,932.28,108118
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,128,173.93,148.76,218.75,0.1831,0.0005,0.5496,60.3,115.9,963.03,113414
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,2048,173.93,1729.95,1281.9,0.0,0.1599,0.4515,54.63,119.64,1034.36,93169
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,256,173.93,294.73,398.77,0.0,0.0014,0.5575,60.17,122.51,991.72,115039
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,32,173.93,37.49,61.07,0.7517,0.0,0.536,62.26,119.64,921.08,110609
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,512,173.93,576.44,710.55,0.0,0.0072,0.5556,58.99,118.83,992.83,114654
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_180,64,173.93,74.76,121.14,0.5557,0.0001,0.5511,62.47,123.04,953.45,113730
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,1024,92.21,469.92,855.24,0.0194,0.0238,0.6999,56.62,98.86,976.62,144419
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,128,92.21,70.4,185.54,0.7535,0.0,0.6078,63.75,121.91,985.88,125421
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,2048,92.21,768.28,1117.77,0.0,0.0697,0.7468,49.94,97.87,966.43,154101
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,256,92.21,139.16,352.77,0.561,0.0024,0.6122,62.58,116.29,969.21,126328
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,32,92.21,17.86,46.35,0.8966,0.0,0.5396,59.51,119.09,944.46,111345
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,512,92.21,261.26,564.26,0.1291,0.0079,0.6172,63.14,115.01,982.08,127352
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_270,64,92.21,35.31,92.87,0.8447,0.0,0.5839,62.65,118.66,981.6,120481
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,1024,23.15,2453.86,1568.04,0.0,0.3908,0.7502,71.33,148.1,1023.41,154815
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,128,23.15,789.49,1098.84,0.0868,0.056,0.8348,55.87,97.81,2908.91,172268
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,2048,23.15,2989.5,1428.61,0.0,0.5689,0.4525,101.17,192.42,3452.54,93368
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,256,23.15,1236.4,1339.56,0.0063,0.1184,0.848,49.5,87.64,2842.63,174991
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,32,23.15,219.44,350.61,0.3408,0.0,0.8,56.13,103.11,2428.69,165077
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,512,23.15,1821.64,1519.63,0.0,0.2158,0.8464,47.87,86.99,2840.72,174663
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_30,64,23.15,436.28,691.12,0.2452,0.0009,0.8035,56.6,101.47,1116.92,165796
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,1024,10.98,2825.11,1397.9,0.0,0.4525,0.7383,68.42,171.64,3300.47,152345
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,128,10.98,885.42,1098.85,0.0296,0.0516,0.8225,70.89,138.37,3187.15,169723
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,2048,10.98,3396.19,1140.67,0.0,0.6748,0.3324,166.34,1015.35,3912.88,68597
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,256,10.98,1408.51,1339.11,0.0,0.1362,0.8504,63.18,119.75,3204.12,175487
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,32,10.98,231.38,312.72,0.2279,0.0004,0.7798,69.6,145.17,3184.86,160923
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,512,10.98,2075.89,1440.96,0.0,0.2442,0.8554,55.97,107.59,3205.18,176505
Terrain11_FreshCrater,PosB_4000_Lon,PosB,4000,Lon,Sun_350,64,10.98,459.87,603.64,0.1036,0.0006,0.7969,69.92,144.02,3221.29,164448
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,1024,,1.25,1.17,1.0,0.0,0.0016,,,,2204
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,128,,0.61,0.82,1.0,0.0,0.0008,,,,1125
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,2048,,1.96,1.84,1.0,0.0,0.0012,,,,1614
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,256,,0.71,0.84,1.0,0.0,0.0018,,,,2371
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,32,,0.54,0.8,1.0,0.0,0.0011,,,,1501
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,4096,,3.45,3.26,0.9997,0.0,0.0007,,,,884
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,512,,0.87,0.92,1.0,0.0,0.0013,,,,1743
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,64,,0.58,0.81,1.0,0.0,0.0006,,,,865
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,NoSun,8192,,6.35,5.87,0.9994,0.0,0.0043,,,,5700
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,1024,105.1,981.92,1073.37,0.0,0.0317,0.7653,17.14,32.38,79.35,1023382
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,128,105.1,133.93,205.15,0.4383,0.0001,0.7585,18.42,34.84,90.88,1014298
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,2048,105.1,1624.49,1439.75,0.0,0.1576,0.7375,15.6,32.98,108.5,986201
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,256,105.1,264.63,369.43,0.1964,0.0024,0.7673,17.96,33.85,86.4,1026122
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,32,105.1,33.66,51.57,0.7224,0.0,0.7234,18.79,36.12,101.17,967375
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,512,105.1,515.54,631.8,0.0249,0.0057,0.7692,17.92,33.66,81.2,1028642
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_180,64,105.1,67.17,103.39,0.54,0.0,0.7471,18.86,36.01,99.71,999060
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_270,1024,11.24,2217.13,1464.97,0.0,0.2695,0.6281,28.37,51.35,218.13,839978
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_270,128,11.24,685.77,1020.63,0.0671,0.0003,0.7154,42.1,95.71,364.13,956685
Terrain11_FreshCrater,PosC_1500_Loff,PosC,1500,Loff,Sun_270,2048,11.24,2922.67,1386.82,0.0,0.5067,0.5072,37.8,71.35,263.72,678326
